";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-09 07:00:00;;;;;;;";0.0;0;48.0;23.9;45.0;-2.61;84.85;5.17
"2022-01-09 08:00:00;;;;;;;";0.0;0;128.0;45.07;116.0;-1.98;81.55;5.66
"2022-01-09 09:00:00;;;;;;;";0.0;0;37.0;0.0;37.0;-1.36;78.45;5.52
"2022-01-09 10:00:00;;;;;;;";0.0;0;64.0;0.0;64.0;-1.0;72.5;6.0
"2022-01-09 11:00:00;;;;;;;";0.0;0;57.0;0.0;57.0;-0.8;69.75;6.0
"2022-01-09 12:00:00;;;;;;;";0.0;0;66.0;0.0;66.0;-0.46;67.0;5.66
"2022-01-09 13:00:00;;;;;;;";0.0;0;39.0;0.0;39.0;-0.32;64.45;5.24
"2022-01-09 14:00:00;;;;;;;";0.0;0;46.0;0.0;46.0;-0.36;69.75;4.9
"2022-01-09 15:00:00;;;;;;;";0.0;0;25.0;12.38;24.0;-0.76;69.75;4.76
"2022-01-09 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.36;75.35;4.48
"2022-01-09 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.89;78.35;4.34
"2022-01-09 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.41;81.5;4.21
"2022-01-09 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.46;88.35;3.66
"2022-01-09 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.48;88.35;4.34
"2022-01-09 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-1.83;84.95;4.34
"2022-01-09 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.17;88.3;4.41
"2022-01-09 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.69;88.25;3.86
"2022-01-10 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.27;88.25;3.24
"2022-01-10 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.66;88.2;3.03
"2022-01-10 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.9;91.75;2.76
"2022-01-10 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.04;88.15;2.34
"2022-01-10 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.32;88.15;1.86
"2022-01-10 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.57;91.75;1.31
"2022-01-10 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.65;91.75;0.83
"2022-01-10 07:00:00;;;;;;;";0.0;0;41.0;7.91;40.0;-3.62;95.5;0.21
"2022-01-10 08:00:00;;;;;;;";0.0;0;82.0;0.0;82.0;-3.54;95.5;0.21
"2022-01-10 09:00:00;;;;;;;";0.0;0;120.0;0.0;120.0;-3.13;88.25;0.14
"2022-01-10 10:00:00;;;;;;;";0.0;0;77.0;0.0;77.0;-2.49;84.85;0.41
"2022-01-10 11:00:00;;;;;;;";0.0;0;116.0;0.0;116.0;-1.89;84.85;1.31
"2022-01-10 12:00:00;;;;;;;";0.0;0;85.0;0.0;85.0;-1.44;81.65;1.93
"2022-01-10 13:00:00;;;;;;;";0.0;0;227.0;163.31;170.0;-1.08;81.7;1.86
"2022-01-10 14:00:00;;;;;;;";0.0;0;70.0;0.0;70.0;-1.08;81.7;1.66
"2022-01-10 15:00:00;;;;;;;";0.0;0;47.0;215.03;29.0;-1.78;88.35;1.1
"2022-01-10 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-2.8;91.85;0.83
